pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
26,1,,2,1,5,noshade,Salvia colombriae,,2,12,2,,
26,1,,2,2,5,noshade,Salvia colombriae,,2,16,4,,
26,1,,2,3,5,noshade,Salvia colombriae,,,,,,
27,1,,3,1,5,noshade,Salvia colombriae,,0,,,,
27,1,,3,2,5,noshade,Salvia colombriae,,,,,,
27,1,,3,3,5,noshade,Salvia colombriae,,,,,,
28,1,,4,1,5,noshade,Salvia colombriae,,0,,,,
28,1,,4,2,5,noshade,Salvia colombriae,,,,,,
28,1,,4,3,5,noshade,Salvia colombriae,,,,,,
29,1,,5,1,5,noshade,Salvia colombriae,,3,18,4,,
29,1,,5,2,5,noshade,Salvia colombriae,,3,24,4,,
29,1,,5,3,5,noshade,Salvia colombriae,,3,25,5,,
30,1,,6,1,5,noshade,Salvia colombriae,,0,,,,
30,1,,6,2,5,noshade,Salvia colombriae,,,,,,
30,1,,6,3,5,noshade,Salvia colombriae,,,,,,
31,1,,7,1,5,noshade,Salvia colombriae,,3,15,4,,
31,1,,7,2,5,noshade,Salvia colombriae,,3,20,4,,
31,1,,7,3,5,noshade,Salvia colombriae,,3,25,4,,
32,1,,8,1,5,noshade,Salvia colombriae,,1,19,4,,
32,1,,8,2,5,noshade,Salvia colombriae,,,,,,
32,1,,8,3,5,noshade,Salvia colombriae,,,,,,
33,1,,9,1,5,noshade,Salvia colombriae,,2,29,4,,
33,1,,9,2,5,noshade,Salvia colombriae,,2,19,4,,
33,1,,9,3,5,noshade,Salvia colombriae,,,,,,
34,1,,10,1,5,noshade,Salvia colombriae,,3,26,4,,
34,1,,10,2,5,noshade,Salvia colombriae,,3,22,4,,
34,1,,10,3,5,noshade,Salvia colombriae,,3,16,4,,
35,1,,11,1,5,noshade,Salvia colombriae,,3,15,4,,
35,1,,11,2,5,noshade,Salvia colombriae,,3,10,2,,
35,1,,11,3,5,noshade,Salvia colombriae,,3,12,4,,
36,1,,12,1,5,noshade,Salvia colombriae,,2,24,4,,
36,1,,12,2,5,noshade,Salvia colombriae,,2,13,4,,
36,1,,12,3,5,noshade,Salvia colombriae,,,,,,
37,1,,1,1,10,noshade,Salvia colombriae,,4,13,4,,
37,1,,1,2,10,noshade,Salvia colombriae,,4,14,4,,
37,1,,1,3,10,noshade,Salvia colombriae,,4,21,4,,
38,1,,2,1,10,noshade,Salvia colombriae,,0,,,,
38,1,,2,2,10,noshade,Salvia colombriae,,,,,,
38,1,,2,3,10,noshade,Salvia colombriae,,,,,,
39,1,,3,1,10,noshade,Salvia colombriae,,6,28,4,,
39,1,,3,2,10,noshade,Salvia colombriae,,6,27,4,,
39,1,,3,3,10,noshade,Salvia colombriae,,6,18,4,,
40,1,,4,1,10,noshade,Salvia colombriae,,5,22,4,,
40,1,,4,2,10,noshade,Salvia colombriae,,5,24,4,,
40,1,,4,3,10,noshade,Salvia colombriae,,5,25,4,,
